artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
Sanction,7heT2IFqdoERX6PwNCN9Qp,Fixated Upon a Figure,0.00242,0.209,133994,0.938,2.58e-05,7,0.409,-6.091,1,0.13699999999999998,179.916,4,0.10800000000000001,31
Invisible Inc.,0BLJ5cVkjUxS0FR7Pvh1vR,They Warned Us (feat. Gift of Gab),0.456,0.685,232693,0.5670000000000001,0.0,1,0.18100000000000002,-9.067,1,0.6709999999999999,85.07700000000001,4,0.644,17
Vianni,2Wk9A108h42IopaUdC8PBp,Antisocial,0.47,0.5329999999999999,158400,0.5479999999999999,0.0,0,0.154,-7.88,0,0.406,92.805,4,0.83,38
Morodo,2rLbtszlzaGGSHMtJfWKUQ,Yo Soy Tu Maestro,0.418,0.7509999999999999,200909,0.8320000000000001,0.0,10,0.0779,-7.72,0,0.134,157.798,4,0.9279999999999999,0
KVR,6F2jB8tKRjpoOldkYFNzy5,Love With The Lights On,0.0178,0.631,147033,0.6,0.0,1,0.132,-9.017000000000001,1,0.0462,111.029,4,0.24100000000000002,33
MC Paul Barman,4k9M3CynSGIVTGAGoUFst8,(((echo chamber))),0.18899999999999997,0.701,147933,0.6579999999999999,1.09e-06,11,0.11,-7.915,1,0.375,94.863,4,0.8740000000000001,8
ZieZie,2H9zpvV33I48HE5jnNvWVB,Fine Girl,0.0295,0.867,163001,0.509,0.0,7,0.0424,-4.8839999999999995,0,0.0918,100.99799999999999,4,0.684,69
Nature Relax Sounds,6QkAHh0H8vJ89TlzNoF2jY,Attentions,0.9890000000000001,0.259,33000,0.0354,0.953,3,0.0709,-28.366,1,0.0778,120.665,3,0.0357,23
N8N,5e3erpQhUlDJ9mWczobWZ2,Sign Ur Name,0.0169,0.69,254485,0.665,1.26e-05,1,0.44,-4.927,0,0.0296,103.927,4,0.226,12
Amarionette,6jlJCTC8QmbBZliS8O1pRq,Charm,0.0102,0.415,199797,0.9590000000000001,2.44e-06,2,0.309,-3.779,1,0.105,172.08,4,0.5429999999999999,26
WEDNESDAY CAMPANELLA,4zk6j1TOlLdOpU0RD2FAEW,Three Mystic Apes,0.564,0.6890000000000001,232887,0.594,0.289,6,0.318,-10.062999999999999,1,0.0607,135.968,4,0.597,15
